תרגום	יונתן	1530	43.732166079953316
ואחד	בימי	1530	43.072622058698165
בראש	הספר	1530	41.75611863849646
בבית	השני	1530	37.59830836036706
אומות	העולם	1530	34.58204844466204
אתה	אומר	1530	31.108010228977406
לעתיד	לבוא	1530	30.510375628578945
המזמור	ההוא	1530	30.160036281631044
שלושה	אנשים	1530	29.573259446464064
בן	ארם	1530	26.972172714463625
רוח	הקרש	1530	25.035166198304722
מלך	המשיח	1530	22.184323153665147
אלא	בשביל	1530	22.130537227868956
יבוא	משיח	1530	20.699897276634367
שמות	רבה	1530	20.34155044386131
תורה	חדשה	1530	20.054005297771965
בבת	קול	1530	19.848024284488574
אמר	רבי	1530	19.672731381585265
הארץ	ובל	1530	18.66547276179722
בשעה	שהיה	1530	17.759808541406052
ירושלים	אלא	1530	17.612539153750816
גם	אתם	1530	17.45491579286181
מלאך	המות	1530	17.024594877641206
נאמר	בישראל	1530	16.579646507812
בשם	יה	1530	16.39632868129746
לב	בשר	1530	15.969363929121727
ימי	משיח	1530	14.654374813544479
עול	התורה	1530	14.326751006406425
ינון	שמו	1530	14.25234075450684
בית	השני	1530	13.325647121574548
ביום	ההוא	1530	13.109189997484336
שמו	שנאמר	1530	11.461268285293443
לפני	ימי	1530	11.44223189606845
ברא	אלוהים	1530	11.344207958981517
בימי	משיח	1530	10.513572835735118
ימי	המשיח	1530	9.796894641418689
ראו	אור	1530	9.728971090416692
כאן	אלא	1530	9.217973669468805
אני	תמהתי	1530	8.990436026815587
רבי	שמעון	1530	8.790158953005573
אור	הראשון	1530	8.754335273088685
נקרא	שמו	1530	8.75389980794688
ארץ	ובל	1530	7.867065827038111
בן	המלך	1530	7.654781453249996
נקרא	בשם	1530	7.424608280614336
יבוא	לך	1530	7.365305194729636
בימי	המשיח	1530	7.13977333565947
אלוהים	נתן	1530	7.05463325112089
בישראל	למען	1530	6.9661795101034585
וזה	יהיה	1530	6.9661787986658865
שמי	שמי	1530	6.864739664247793
שנה	לפני	1530	6.6891759082345885
אלו	בלבד	1530	6.63487228967216
אתמול	אמר	1530	6.570387330999587
יום	הולך	1530	6.466810151941672
שמי	שמים	1530	6.466809796010686
וכי	בלי	1530	6.351767040204976
איך	יכול	1530	6.35176561562939
בי	המה	1530	6.144826848420166
אומרים	בי	1530	6.144814458902459
בארץ	ארם	1530	6.136699819673069
לבוא	שנאמר	1530	6.136699107386207
לישראל	שמא	1530	6.104702917686097
שבעים	שנה	1530	6.104701135902239
יום	כיון	1530	6.070077171866984
הנביאים	קראו	1530	5.885612208692876
בלשון	הקרש	1530	5.854792175067814
מעט	שנים	1530	5.8547911059988635
יקרא	היום	1530	5.7411644444603525
מלך	המלך	1530	5.741164088104355
שמא	בשביל	1530	5.6888725029600025
שלושה	אנשי	1530	5.608926374969286
אמי	ליה	1530	5.608924948692483
שאי	אפשר	1540	729.3593111599316
השם	יתברך	1540	693.7711039068672
בלי	ספק	1540	510.05627500761807
העולם	הבא	1540	389.1176727023917
שאמר	הכתוב	1540	353.299118208688
רבותינו	זיל	1540	332.74405731374884
רוצה	לומר	1540	317.5121146113611
הבעלי	היים	1540	311.8269632534435
השכר	והעונש	1540	295.47996038495637
ואי	אפשר	1540	251.8226739470991
עבודה	זרה	1540	250.4780756600925
טבע	האפשר	1540	242.80128076484482
ואחר	כך	1540	232.914786242309
שאמרו	רבותינו	1540	230.16535897884773
רצה	לומר	1540	205.9374386121695
מציאות	השם	1540	204.1161936478461
ממה	שיורה	1540	189.22607144557014
אמר	הכתוב	1540	185.0770540292242
תורת	משה	1540	183.57903720380983
בפני	עצמו	1540	171.49507458261627
הכה	השכלי	1540	169.1727546569923
שהשם	יתברך	1540	155.71084409110608
ואחד	כך	1540	153.13779493221676
בעולם	הבא	1540	149.092717039975
ההויה	וההפסד	1540	140.79121245272194
להיי	העולם	1540	134.35587870420434
השכלים	הנבדלים	1540	131.88654607853525
ברכי	נפשי	1540	131.14201422061848
ומזה	הצד	1540	129.5847812457223
השם	ית	1540	127.74056366924287
ראוי	שיהיה	1540	125.23611644686116
רשע	וטוב	1540	124.03457754284682
הנמצאות	השפלות	1540	121.79286484011641
בשר	ודם	1540	121.58631962106423
ולזה	תמצא	1540	116.5144863415519
התנועה	היומית	1540	116.06779735942104
הקדוש	ברוך	1540	114.9169883719122
מין	האדם	1540	113.21150445838782
המין	האנושי	1540	111.32679018343299
הדת	האלהית	1540	111.03326087059287
משה	רבינו	1540	110.84705189342912
ומתוך	כך	1540	109.44357161261314
בבעלי	היים	1540	109.43056094361843
השלמות	האנושי	1540	109.01351478452932
כאלו	תאמר	1540	105.93691160882031
אפשר	שימצא	1540	105.89592923764121
עומד	בעצמו	1540	105.25832146357087
בתורת	משה	1540	105.09195981388382
הבעל	הי	1540	105.06833031695747
הכה	המדמה	1540	102.67361855448809
מצוה	פרטית	1540	102.32164026902808
לאיש	כדרכיו	1540	101.3742433267314
רמוז	במה	1540	101.01114229709637
לכלל	האומה	1540	100.93578377892112
מצד	עצמו	1540	100.7959574562392
מחוייב	המציאות	1540	96.48876005765834
מתן	תורה	1540	96.07829147908615
נעלם	תכלית	1540	95.60302938628897
הטוב	והרע	1540	93.4761453207384
מאהבה	גמורה	1540	93.34305176013856
האותות	והמופתים	1540	93.30592268158364
צדיק	ורע	1540	91.81764760184387
שהיא	אלהית	1540	90.49250405991643
ראוי	שתהיה	1540	89.23268230068106
הלא	תראה	1540	88.92616205569323
עתה	ידעתי	1540	88.44779833261293
נבואת	משה	1540	87.156685616323
מצות	עשה	1540	86.4017664822054
